Disease ID,Disease Name,Disease Class,Definitions,# Disease(DOID),main_system_affected
C0162666,Mitochondrial Encephalomyopathies,musculoskeletal system disease,"A heterogenous group of disorders characterized by alterations of mitochondrial metabolism that result in muscle and nervous system dysfunction. These are often multisystemic and vary considerably in age at onset (usually in the first or second decade of life), distribution of affected muscles, severity, and course. (From Adams et al., Principles of Neurology, 6th ed, pp984-5)",,Nervous
C0019151,Hepatic Encephalopathy,nervous system disease,"A syndrome characterized by central nervous system dysfunction in association with LIVER FAILURE, including portal-systemic shunts. Clinical features include lethargy and CONFUSION (frequently progressing to COMA); ASTERIXIS; NYSTAGMUS, PATHOLOGIC; brisk oculovestibular reflexes; decorticate and decerebrate posturing; MUSCLE SPASTICITY; and bilateral extensor plantar reflexes (see REFLEX, BABINSKI). ELECTROENCEPHALOGRAPHY may demonstrate triphasic waves. (From Adams et al., Principles of Neurology, 6th ed, pp1117-20; Plum & Posner, Diagnosis of Stupor and Coma, 3rd ed, p222-5)",DOID:13413,nervous system
C0026769,Multiple Sclerosis,nervous system disease,"An autoimmune disorder mainly affecting young adults and characterized by destruction of myelin in the central nervous system. Pathologic findings include multiple sharply demarcated areas of demyelination throughout the white matter of the central nervous system. Clinical manifestations include visual loss, extra-ocular movement disorders, paresthesias, loss of sensation, weakness, dysarthria, spasticity, ataxia, and bladder dysfunction. The usual pattern is one of recurrent attacks followed by partial recovery (see MULTIPLE SCLEROSIS, RELAPSING-REMITTING), but acute fulminating and chronic progressive forms (see MULTIPLE SCLEROSIS, CHRONIC PROGRESSIVE) also occur. (Adams et al., Principles of Neurology, 6th ed, p903)",DOID:2377,nervous system
C0600467,Neurogenic Inflammation,Inflammatory,Inflammation caused by an injurious stimulus of peripheral neurons and resulting in release of neuropeptides which affect vascular permeability and help initiate proinflammatory and immune reactions at the site of injury.,,Nervous
C0024141,"Lupus Erythematosus, Systemic",musculoskeletal system disease,"A chronic, relapsing, inflammatory, and often febrile multisystemic disorder of connective tissue, characterized principally by involvement of the skin, joints, kidneys, and serosal membranes. It is of unknown etiology, but is thought to represent a failure of the regulatory mechanisms of the autoimmune system. The disease is marked by a wide range of system dysfunctions, an elevated erythrocyte sedimentation rate, and the formation of LE cells in the blood or bone marrow.",,Immune system
C2931673,"Ceroid Lipofuscinosis, Neuronal 1, Infantile",Genetic metabolic disorder,"An inherited lysosomal storage disorder characterized by the accumulation of ceroid lipofuscin in neurons and other cells, leading to rapid and severe neurodegeneration, blindness, seizures, and loss of motor and cognitive function, typically with onset in infancy.",,Nervous system
C0152013,Adenocarcinoma Of Lung (Disorder),cancer,"A malignant tumor that originates in the glandular cells of the lung, often found in the outer parts of the lungs. It is the most common type of lung cancer.",,Respiratory system
C0175702,Williams Syndrome,chromosomal disease,"A disorder caused by hemizygous microdeletion of about 28 genes on chromosome 7q11.23, including the ELASTIN gene. Clinical manifestations include SUPRAVALVULAR AORTIC STENOSIS; MENTAL RETARDATION; elfin facies; impaired visuospatial constructive abilities; and transient HYPERCALCEMIA in infancy. The condition affects both sexes, with onset at birth or in early infancy.",,Cardiovascular
C0268362,Osteogenesis Imperfecta Type Iii (Disorder),genetic,"A severe genetic disorder characterized by extremely fragile bones that fracture easily, often leading to significant bone deformities, short stature, and other connective tissue problems.",,musculoskeletal
C0268363,Osteogenesis Imperfecta Type Iv (Disorder),Genetic disorder,"A genetic disorder characterized by moderate bone fragility, variable short stature, and often dentinogenesis imperfecta, caused by mutations in genes affecting type I collagen production.",,Skeletal system
C0241910,"Hepatitis, Autoimmune",immune system disease,"A chronic self-perpetuating hepatocellular INFLAMMATION of unknown cause, usually with HYPERGAMMAGLOBULINEMIA and serum AUTOANTIBODIES.",,digestive system
C0033578,Prostatic Neoplasms,cancer,Tumors or cancer of the PROSTATE.,,Reproductive System
C2936907,Nadh:Q(1) Oxidoreductase Deficiency,Metabolic,"A genetic metabolic disorder caused by a deficiency in Complex I (NADH:ubiquinone oxidoreductase) of the mitochondrial respiratory chain, leading to impaired cellular energy production.",,Nervous system
C0848558,Hypospadias,hypospadias,"A birth defect due to malformation of the URETHRA in which the urethral opening is below its normal location. In the male, the malformed urethra generally opens on the ventral surface of the PENIS or on the PERINEUM. In the female, the malformed urethral opening is in the VAGINA.",DOID:10892,Genitourinary system
C0026764,Multiple Myeloma,cancer,"A malignancy of mature PLASMA CELLS engaging in monoclonal immunoglobulin production. It is characterized by hyperglobulinemia, excess Bence-Jones proteins (free monoclonal IMMUNOGLOBULIN LIGHT CHAINS) in the urine, skeletal destruction, bone pain, and fractures. Other features include ANEMIA; HYPERCALCEMIA; and RENAL INSUFFICIENCY.",DOID:9538,hematologic
C0015695,Fatty Liver,inherited metabolic disorder,"Lipid infiltration of the hepatic parenchymal cells resulting in a yellow-colored liver. The abnormal lipid accumulation is usually in the form of TRIGLYCERIDES, either as a single large droplet or multiple small droplets. Fatty liver is caused by an imbalance in the metabolism of FATTY ACIDS.",,digestive system
C0023290,"Leishmaniasis, Visceral",parasitic infectious disease,"A chronic disease caused by LEISHMANIA DONOVANI and transmitted by the bite of several sandflies of the genera Phlebotomus and Lutzomyia. It is commonly characterized by fever, chills, vomiting, anemia, hepatosplenomegaly, leukopenia, hypergammaglobulinemia, emaciation, and an earth-gray color of the skin. The disease is classified into three main types according to geographic distribution: Indian, Mediterranean (or infantile), and African.",,Reticuloendothelial System
C0393706,Early Infantile Epileptic Encephalopathy With Suppression Bursts,Neurological,"A severe, rare epileptic encephalopathy beginning in early infancy, characterized by frequent tonic seizures and a distinctive electroencephalogram (EEG) pattern of suppression bursts, leading to profound developmental delay.",,Nervous system
C0022521,Kartagener Syndrome,ciliopathy,"An autosomal recessive disorder characterized by a triad of DEXTROCARDIA; INFERTILITY; and SINUSITIS. The syndrome is caused by mutations of DYNEIN genes encoding motility proteins which are components of sperm tails, and CILIA in the respiratory and the reproductive tracts.",DOID:0050144,Respiratory
C0005586,Bipolar Disorder,cognitive disorder,A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.,DOID:3312,nervous system
C0242350,Erectile Dysfunction,Sexual dysfunction,The inability in the male to have a PENILE ERECTION due to psychological or organ dysfunction.,,Reproductive system
C0265215,Meckel-Gruber Syndrome,Genetic,"Meckel-Gruber Syndrome is a rare, lethal, autosomal recessive genetic disorder characterized by a classic triad of occipital encephalocele, polydactyly, and polycystic kidneys. It is a ciliopathy affecting multiple organs.",,Multiple
C0005612,Birth Weight,Metabolic,The mass or quantity of heaviness of an individual at BIRTH. It is expressed by units of pounds or kilograms.,,Metabolic
C0004352,Autistic Disorder,developmental disorder of mental health,A disorder beginning in childhood. It is marked by the presence of markedly abnormal or impaired development in social interaction and communication and a markedly restricted repertoire of activity and interest. Manifestations of the disorder vary greatly depending on the developmental level and chronological age of the individual. (DSM-V),DOID:12849,nervous system
C0023904,"Liver Neoplasms, Experimental",cancer,Experimentally induced tumors of the LIVER.,,digestive system
C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,cancer,"A leukemia/lymphoma found predominately in children and young adults and characterized LYMPHADENOPATHY and THYMUS GLAND involvement. It most frequently presents as a lymphoma, but a leukemic progression in the bone marrow is common.",,hematopoietic and lymphatic
C0027404,Narcolepsy,sleep disorder,"A condition characterized by recurrent episodes of daytime somnolence and lapses in consciousness (microsomnias) that may be associated with automatic behaviors and AMNESIA. CATAPLEXY; SLEEP PARALYSIS, and hypnagogic HALLUCINATIONS frequently accompany narcolepsy. The pathophysiology of this disorder includes sleep-onset rapid eye movement (REM) sleep, which normally follows stage III or IV sleep. (From Neurology 1998 Feb;50(2 Suppl 1):S2-S7)",DOID:8986,nervous
C0015967,Fever,infectious,"An abnormal elevation of body temperature, usually as a result of a pathologic process.",,nervous
C0001418,Adenocarcinoma,cancer,A malignant epithelial tumor with a glandular organization.,DOID:299,digestive
C0887833,"Carcinoma, Pancreatic Ductal",cancer,Carcinoma that arises from the PANCREATIC DUCTS. It accounts for the majority of cancers derived from the PANCREAS.,,digestive system
C0740392,"Infarction, Middle Cerebral Artery",cardiovascular system disease,"NECROSIS occurring in the MIDDLE CEREBRAL ARTERY distribution system which brings blood to the entire lateral aspects of each CEREBRAL HEMISPHERE. Clinical signs include impaired cognition; APHASIA; AGRAPHIA; weak and numbness in the face and arms, contralaterally or bilaterally depending on the infarction.",,nervous system
C0020538,Hypertensive Disease,cardiovascular system disease,"A group of conditions characterized by persistently elevated blood pressure, which is the force of blood pushing against the walls of the arteries.",,Cardiovascular
C0349639,Juvenile Myelomonocytic Leukemia,cancer,A myelodysplastic/myeloproliferative neoplasm that is characterized by the uncontrolled growth of monocytes.,DOID:0050458,Hematologic system
C0023343,Leprosy,bacterial infectious disease,"A chronic granulomatous infection caused by MYCOBACTERIUM LEPRAE. The granulomatous lesions are manifested in the skin, the mucous membranes, and the peripheral nerves. Two polar or principal types are lepromatous and tuberculoid.",DOID:1024,nervous system
C0027051,Myocardial Infarction,cardiovascular system disease,NECROSIS of the MYOCARDIUM caused by an obstruction of the blood supply to the heart (CORONARY CIRCULATION).,DOID:5844,cardiovascular system
C0042109,Urticaria,Immunological,"A vascular reaction of the skin characterized by erythema and wheal formation due to localized increase of vascular permeability. The causative mechanism may be allergy, infection, or stress.",DOID:1555,Integumentary
C0003811,Cardiac Arrhythmia,Cardiovascular,"A condition characterized by an irregular heartbeat, where the heart beats too fast (tachycardia), too slow (bradycardia), or with an irregular rhythm.",,Cardiovascular
C0018995,Hemochromatosis,inherited metabolic disorder,"A disorder of iron metabolism characterized by a triad of HEMOSIDEROSIS; LIVER CIRRHOSIS; and DIABETES MELLITUS. It is caused by massive iron deposits in parenchymal cells that may develop after a prolonged increase of iron absorption. (Jablonski's Dictionary of Syndromes & Eponymic Diseases, 2d ed)",DOID:2352,Hepatic
C0030297,Pancreatic Neoplasm,cancer,"A malignant tumor originating in the tissues of the pancreas, an organ located behind the stomach that produces digestive enzymes and hormones like insulin.",,Digestive system
C0020507,Hyperplasia,Cellular/Tissue Disorder,"An increase in the number of cells in a tissue or organ without tumor formation. It differs from HYPERTROPHY, which is an increase in bulk without an increase in the number of cells.",,Multiple Systems
C0030354,Papilloma,benign neoplasm,"A circumscribed benign epithelial tumor projecting from the surrounding surface; more precisely, a benign epithelial neoplasm consisting of villous or arborescent outgrowths of fibrovascular stroma covered by neoplastic cells. (Stedman, 25th ed)",DOID:2615,Integumentary
C0030193,Pain,Neurological,An unpleasant sensation induced by noxious stimuli which are detected by NERVE ENDINGS of NOCICEPTIVE NEURONS.,,Nervous
C0000768,Congenital Abnormality,Congenital/Developmental,"A condition that is present at birth, which can be structural, functional, or metabolic.",,Any or multiple systems
C1834752,"Mycobacterium Tuberculosis, Susceptibility To (Finding)",Finding,A finding indicating an increased likelihood of developing tuberculosis upon exposure to Mycobacterium tuberculosis.,,Respiratory system
C0022658,Kidney Diseases,urinary system disease,Pathological processes of the KIDNEY or its component tissues.,,urinary system
C0206062,"Lung Diseases, Interstitial",respiratory system disease,"A diverse group of lung diseases that affect the lung parenchyma. They are characterized by an initial inflammation of PULMONARY ALVEOLI that extends to the interstitium and beyond leading to diffuse PULMONARY FIBROSIS. Interstitial lung diseases are classified by their etiology (known or unknown causes), and radiological-pathological features.",,respiratory system
C0007117,Basal Cell Carcinoma,cancer,A skin carcinoma affecting basal cells. [url:http\://en.wikipedia.org/wiki/Basal-cell_carcinoma],DOID:2513,Integumentary system
C2239176,Liver Carcinoma,cancer,"A liver cancer that has_material_basis_in epithelial cells. [url:http\://en.wikipedia.org/wiki/Carcinoma, url:http\://en.wikipedia.org/wiki/Liver_cancer]",DOID:686,digestive system
C0206726,Gliosarcoma,cancer,"Rare mixed tumors of the brain and rarely the spinal cord which contain malignant neuroectodermal (glial) and mesenchymal components, including spindle-shaped fibrosarcoma cells. These tumors are highly aggressive and present primarily in adults as rapidly expanding mass lesions. They may arise in tissue that has been previously irradiated. (From Br J Neurosurg 1995 Apr;9(2):171-8)",DOID:3071,nervous
C0948089,Acute Coronary Syndrome,Cardiovascular,An episode of MYOCARDIAL ISCHEMIA that generally lasts longer than a transient anginal episode that ultimately may lead to MYOCARDIAL INFARCTION.,,Cardiovascular
C0029927,Ovarian Cysts,Gynecological,General term for CYSTS and cystic diseases of the OVARY.,,Reproductive System
C0036346,"Schizophrenia, Childhood",Mental/Psychiatric Disorder,"An obsolete concept, historically used for childhood mental disorders thought to be a form of schizophrenia. It was in earlier versions of DSM but is now included within the broad concept of PERVASIVE DEVELOPMENT DISORDERS.",,Nervous System
C0206686,Adrenocortical Carcinoma,cancer,"A malignant neoplasm of the ADRENAL CORTEX. Adrenocortical carcinomas are unencapsulated anaplastic (ANAPLASIA) masses sometimes exceeding 20 cm or 200 g. They are more likely to be functional than nonfunctional, and produce ADRENAL CORTEX HORMONES that may result in hypercortisolism (CUSHING SYNDROME); HYPERALDOSTERONISM; and/or VIRILISM.",DOID:3948,endocrine
C0036341,Schizophrenia,Psychiatric,"A severe emotional disorder of psychotic depth characteristically marked by a retreat from reality with delusion formation, HALLUCINATIONS, emotional disharmony, and regressive behavior.",DOID:5419,Nervous
C0333641,Atrophic,Pathological process,"Characterized by atrophy, the wasting away or decrease in size of a body part, tissue, or organ.",,Variable
C1800706,Idiopathic Pulmonary Fibrosis,respiratory system disease,"A common interstitial lung disease of unknown etiology, usually occurring between 50-70 years of age. Clinically, it is characterized by an insidious onset of breathlessness with exertion and a nonproductive cough, leading to progressive DYSPNEA. Pathological features show scant interstitial inflammation, patchy collagen fibrosis, prominent fibroblast proliferation foci, and microscopic honeycomb change.",DOID:0050156,respiratory system
C0431362,Lobar Holoprosencephaly,Congenital Malformation,"Lobar holoprosencephaly is the mildest form of holoprosencephaly, a congenital brain malformation characterized by incomplete separation of the forebrain into two hemispheres. In the lobar form, there is significant separation of the cerebral hemispheres and ventricles, but often with some fusion of the frontal lobes and other midline structures.",,Nervous
C0431363,Alobar Holoprosencephaly,Genetic/Congenital Malformation,"Alobar holoprosencephaly is the most severe form of holoprosencephaly, a congenital brain malformation characterized by the complete failure of the forebrain (prosencephalon) to divide into two distinct cerebral hemispheres and ventricles. This results in a single, midline ventricular cavity and often severe facial anomalies.",,Nervous
C0021051,Immunologic Deficiency Syndromes,immune system disease,"Syndromes in which there is a deficiency or defect in the mechanisms of immunity, either cellular or humoral.",,immune system
C0004134,Ataxia,Neurological,"Impairment of the ability to perform smoothly coordinated voluntary movements. This condition may affect the limbs, trunk, eyes, pharynx, larynx, and other structures. Ataxia may result from impaired sensory or motor function. Sensory ataxia may result from posterior column injury or PERIPHERAL NERVE DISEASES. Motor ataxia may be associated with CEREBELLAR DISEASES; CEREBRAL CORTEX diseases; THALAMIC DISEASES; BASAL GANGLIA DISEASES; injury to the RED NUCLEUS; and other conditions.",,Nervous
C0279628,Adenocarcinoma Of Esophagus,cancer,"A type of cancer that begins in the glandular cells lining the esophagus, typically in the lower part near the stomach.",,Digestive system
C0035334,Retinitis Pigmentosa,nervous system disease,"Hereditary, progressive degeneration of the neuroepithelium of the retina characterized by night blindness and progressive contraction of the visual field.",DOID:10584,nervous system
C0279626,Squamous Cell Carcinoma Of Esophagus,cancer,A malignant tumor arising from the squamous cells that line the esophagus. It is one of the two main types of esophageal cancer.,,Digestive system
C0004364,Autoimmune Diseases,autoimmune,Disorders that are characterized by the production of antibodies that react with host tissues or immune effector cells that are autoreactive to endogenous peptides.,,immune
C0011991,Diarrhea,Symptom,"An increased liquidity or decreased consistency of FECES, such as running stool. Fecal consistency is related to the ratio of water-holding capacity of insoluble solids to total water, rather than the amount of water present. Diarrhea is not hyperdefecation or increased fecal weight.",DOID:13250,Digestive system
C0151744,Myocardial Ischemia,cardiovascular system disease,"A disorder of cardiac function caused by insufficient blood flow to the muscle tissue of the heart. The decreased blood flow may be due to narrowing of the coronary arteries (CORONARY ARTERY DISEASE), to obstruction by a thrombus (CORONARY THROMBOSIS), or less commonly, to diffuse narrowing of arterioles and other small vessels within the heart. Severe interruption of the blood supply to the myocardial tissue may result in necrosis of cardiac muscle (MYOCARDIAL INFARCTION).",,cardiovascular system
C0085580,Essential Hypertension,cardiovascular system disease,"A hypertension with no known cause. It is the most common type of hypertension. [url:http\://en.wikipedia.org/wiki/Essential_hypertension, url:http\://www.merckmanuals.com/professional/cardiovascular_disorders/hypertension/overview_of_hypertension.html]",DOID:10825,cardiovascular system
C0019209,Hepatomegaly,Condition,Enlargement of the liver.,,Digestive system
C0026848,Myopathy,musculoskeletal system disease,A muscular disease in which the muscle fibers do not function resulting in muscular weakness. [url:http\://en.wikipedia.org/wiki/Myopathy],DOID:423,musculoskeletal system
C0019202,Hepatolenticular Degeneration,gastrointestinal system disease,"A rare autosomal recessive disease characterized by the deposition of copper in the BRAIN; LIVER; CORNEA; and other organs. It is caused by defects in the ATP7B gene encoding copper-transporting ATPase 2 (EC 3.6.3.4), also known as the Wilson disease protein. The overload of copper inevitably leads to progressive liver and neurological dysfunction such as LIVER CIRRHOSIS; TREMOR; ATAXIA and intellectual deterioration. Hepatic dysfunction may precede neurologic dysfunction by several years.",,Gastrointestinal
C0015393,Eye Abnormalities,genetic,Congenital absence of or defects in structures of the eye; may also be hereditary.,,Ophthalmic
C0026846,Muscular Atrophy,musculoskeletal system disease,"Derangement in size and number of muscle fibers occurring with aging, reduction in blood supply, or following immobilization, prolonged weightlessness, malnutrition, and particularly in denervation.",DOID:767,musculoskeletal system
C0004782,Basal Ganglia Diseases,nervous system disease,Diseases of the BASAL GANGLIA including the PUTAMEN; GLOBUS PALLIDUS; claustrum; AMYGDALA; and CAUDATE NUCLEUS. DYSKINESIAS (most notably involuntary movements and alterations of the rate of movement) represent the primary clinical manifestations of these disorders. Common etiologies include CEREBROVASCULAR DISORDERS; NEURODEGENERATIVE DISEASES; and CRANIOCEREBRAL TRAUMA.,,nervous system
C0019163,Hepatitis B,viral infectious disease,"INFLAMMATION of the LIVER in humans caused by a member of the ORTHOHEPADNAVIRUS genus, HEPATITIS B VIRUS. It is primarily transmitted by parenteral exposure, such as transfusion of contaminated blood or blood products, but can also be transmitted via sexual or intimate personal contact.",DOID:2043,digestive system
C0024115,Lung Diseases,respiratory system disease,Pathological processes involving any part of the LUNG.,,respiratory system
C0024117,Chronic Obstructive Airway Disease,respiratory system disease,"A chronic inflammatory lung disease that obstructs airflow from the lungs, typically caused by long-term exposure to irritating gases or particulate matter, most often from cigarette smoke.",,Respiratory system
C0031117,Peripheral Neuropathy,nervous system disease,A neuropathy that is located_in nerves of the peripheral nervous system. [url:http\://en.wikipedia.org/wiki/Sensory_neuropathy],DOID:0060053,nervous system
C0043094,Weight Gain,Metabolic,Increase in BODY WEIGHT over existing weight.,,Endocrine
C0011053,Deafness,Neurological,A general term for the complete loss of the ability to hear from both ears.,,Nervous system
C0403553,Renal Dysplasia And Retinal Aplasia (Disorder),Genetic disorder,A rare genetic disorder characterized by abnormal development of the kidneys (renal dysplasia) and the retina of the eyes (retinal aplasia).,,Renal system and Visual system
C1263846,Attention Deficit Hyperactivity Disorder,Neurodevelopmental disorder,"A specific developmental disorder that is characterized by co-existence of attentional problems and hyperactivity, with each behavior occurring infrequently alone\ and symptoms starting before seven years of age."" [url:http\://en.wikipedia.org/wiki/Attention-Deficit_Hyperactivity_Disorder]",DOID:1094,Nervous system
C0039685,Tetralogy Of Fallot,cardiovascular system disease,"A combination of congenital heart defects consisting of four key features including VENTRICULAR SEPTAL DEFECTS; PULMONARY STENOSIS; RIGHT VENTRICULAR HYPERTROPHY; and a dextro-positioned AORTA. In this condition, blood from both ventricles (oxygen-rich and oxygen-poor) is pumped into the body often causing CYANOSIS.",DOID:6419,cardiovascular system
C0524851,Neurodegenerative Disorders,nervous system disease,"A group of progressive conditions that affect neurons in the brain and spinal cord, leading to the loss of structure or function of neurons, including neuronal death.",,nervous system
C0004763,Barrett Esophagus,gastrointestinal system disease,"A condition with damage to the lining of the lower ESOPHAGUS resulting from chronic acid reflux (ESOPHAGITIS, REFLUX). Through the process of metaplasia, the squamous cells are replaced by a columnar epithelium with cells resembling those of the INTESTINE or the salmon-pink mucosa of the STOMACH. Barrett's columnar epithelium is a marker for severe reflux and precursor to ADENOCARCINOMA of the esophagus.",,gastrointestinal system
C0376634,Craniofacial Abnormalities,Congenital,"Congenital structural deformities, malformations, or other abnormalities of the cranium and facial bones.",,Skeletal
C0520459,Necrotizing Enterocolitis,gastrointestinal system disease,"A serious gastrointestinal disease, primarily affecting premature infants, in which tissues in the intestine become inflamed and die.",,Gastrointestinal system
C0020473,Hyperlipidemia,inherited metabolic disorder,"A condition characterized by abnormally high levels of lipids (fats), such as cholesterol and triglycerides, in the blood.",,Cardiovascular
C3463824,Myelodysplastic Syndrome,cancer,"A bone marrow cancer that is characterized by under production of white blood cells, red blood cells and platelets. [url:http\://en.wikipedia.org/wiki/Myelodysplastic_syndrome, url:http\://www.cancer.gov/dictionary?CdrID=45266]",DOID:0050908,hematopoietic
C0003130,Anoxia,Injury,Relatively complete absence of oxygen in one or more tissues.,,Nervous
C0149925,Small Cell Carcinoma Of Lung,cancer,"A highly aggressive type of lung cancer characterized by the presence of small, oval-shaped cancer cells that grow and spread rapidly.",,Respiratory
C0014544,Epilepsy,nervous system disease,"A disorder characterized by recurrent episodes of paroxysmal brain dysfunction due to a sudden, disorderly, and excessive neuronal discharge. Epilepsy classification systems are generally based upon: (1) clinical features of the seizure episodes (e.g., motor seizure), (2) etiology (e.g., post-traumatic), (3) anatomic site of seizure origin (e.g., frontal lobe seizure), (4) tendency to spread to other structures in the brain, and (5) temporal patterns (e.g., nocturnal epilepsy). (From Adams et al., Principles of Neurology, 6th ed, p313)",,nervous system
C0162557,"Liver Failure, Acute",Liver disease,"A form of rapid-onset LIVER FAILURE, also known as fulminant hepatic failure, caused by severe liver injury or massive loss of HEPATOCYTES. It is characterized by sudden development of liver dysfunction and JAUNDICE. Acute liver failure may progress to exhibit cerebral dysfunction even HEPATIC COMA depending on the etiology that includes hepatic ISCHEMIA, drug toxicity, malignant infiltration, and viral hepatitis such as post-transfusion HEPATITIS B and HEPATITIS C.",,Hepatic system
C1449861,"Micronuclei, Chromosome-Defective",genetic,Defective nuclei produced during the TELOPHASE of MITOSIS or MEIOSIS by lagging CHROMOSOMES or chromosome fragments derived from spontaneous or experimentally induced chromosomal structural changes.,,cellular system
C0009241,Cognition Disorders,Neurological,"Disturbances in mental processes related to learning, thinking, reasoning, and judgment.",,Nervous
C0085110,Severe Combined Immunodeficiency,immune system disease,"Group of rare congenital disorders characterized by impairment of both humoral and cell-mediated immunity, leukopenia, and low or absent antibody levels. It is inherited as an X-linked or autosomal recessive defect. Mutations occurring in many different genes cause human Severe Combined Immunodeficiency (SCID).",DOID:627,immune system
C0018798,Congenital Heart Defects,cardiovascular system disease,"Structural problems with the heart that are present at birth, affecting the heart's shape, size, or function.",,cardiovascular
C0018799,Heart Diseases,cardiovascular system disease,Pathological conditions involving the HEART including its structural and functional abnormalities.,,cardiovascular system
C0023493,Adult T-Cell Lymphoma/Leukemia,cancer,"Adult T-cell lymphoma/leukemia (ATLL) is a rare and aggressive cancer of mature T-cells, a type of white blood cell. It is caused by infection with the human T-cell lymphotropic virus type 1 (HTLV-1) and can affect the blood, lymph nodes, skin, and other organs.",,Hematopoietic and Lymphatic System
C0008312,Primary Biliary Cirrhosis,immune system disease,"A liver cirrhosis characterized by chronic and slow progressive destruction of intrahepatic bile ducts. [url:http\://en.wikipedia.org/wiki/Primary_biliary_cirrhosis, url:http\://www.merckmanuals.com/professional/hepatic_and_biliary_disorders/fibrosis_and_cirrhosis/primary_biliary_cirrhosis_pbc.html?qt=primary%20biliary%20cirrhosis&alt=sh]",DOID:12236,Digestive
C0004936,Mental Disorders,Psychiatric,"Psychiatric illness or diseases manifested by breakdowns in the adaptational process expressed primarily as abnormalities of thought, feeling, and behavior producing either distress or impairment of function.",,Nervous
C0005283,Beta Thalassemia,monogenic disease,A thalassemia characterized by the reduced or absent synthesis of the beta globin chains of hemoglobin. [url:http\://en.wikipedia.org/wiki/Beta_thalassemia],DOID:12241,Circulatory system
C0024809,Marijuana Abuse,substance-related disorder,The excessive use of marijuana with associated psychological symptoms and impairment in social or occupational functioning.,,Nervous System
C0023976,Long Qt Syndrome,monogenic disease,A condition that is characterized by episodes of fainting (SYNCOPE) and varying degree of ventricular arrhythmia as indicated by the prolonged QT interval. The inherited forms are caused by mutation of genes encoding cardiac ion channel proteins. The two major forms are ROMANO-WARD SYNDROME and JERVELL-LANGE NIELSEN SYNDROME.,DOID:2843,cardiovascular
C0006413,Burkitt Lymphoma,cancer,"A form of undifferentiated malignant LYMPHOMA usually found in central Africa, but also reported in other parts of the world. It is commonly manifested as a large osteolytic lesion in the jaw or as an abdominal mass. B-cell antigens are expressed on the immature cells that make up the tumor in virtually all cases of Burkitt lymphoma. The Epstein-Barr virus (HERPESVIRUS 4, HUMAN) has been isolated from Burkitt lymphoma cases in Africa and it is implicated as the causative agent in these cases; however, most non-African cases are EBV-negative.",DOID:8584,lymphatic
C1861063,"Tobacco Addiction, Susceptibility To (Finding)",Behavioral/Psychiatric,A finding indicating an increased likelihood or predisposition for an individual to develop addiction to tobacco products.,,Nervous system
C0018621,Hay Fever,Allergic/Immunological,"An allergic reaction to pollen or other airborne substances, causing symptoms such as sneezing, itchy and watery eyes, runny nose, and nasal congestion.",,Respiratory
C0021655,Insulin Resistance,metabolic,Diminished effectiveness of INSULIN in lowering blood sugar levels: requiring the use of 200 units or more of insulin per day to prevent HYPERGLYCEMIA or KETOSIS.,,metabolic
C0149721,Left Ventricular Hypertrophy,Cardiovascular,"Left ventricular hypertrophy (LVH) is a condition in which the muscle wall of the left ventricle of the heart becomes thickened, making it harder for the heart to pump blood effectively.",,Cardiovascular
C0085129,Bronchial Hyperreactivity,Respiratory Disorder,Tendency of the smooth muscle of the tracheobronchial tree to contract more intensely in response to a given stimulus than it does in the response seen in normal individuals. This condition is present in virtually all symptomatic patients with asthma. The most prominent manifestation of this smooth muscle contraction is a decrease in airway caliber that can be readily measured in the pulmonary function laboratory.,,Respiratory
C1862939,Amyotrophic Lateral Sclerosis 1,Genetic neurodegenerative disease,"Amyotrophic lateral sclerosis 1 (ALS1) is a rare, inherited neurodegenerative disease characterized by the progressive degeneration of motor neurons in the brain and spinal cord, leading to muscle weakness, atrophy, and paralysis.",,Nervous system
C0015934,Fetal Growth Retardation,Developmental,The failure of a FETUS to attain its expected FETAL GROWTH at any GESTATIONAL AGE.,,Developmental
C0079541,Holoprosencephaly,congenital nervous system abnormality,"Anterior midline brain, cranial, and facial malformations resulting from the failure of the embryonic prosencephalon to undergo segmentation and cleavage. Alobar prosencephaly is the most severe form and features anophthalmia; cyclopia; severe INTELLECTUAL DISABILITY; CLEFT LIP; CLEFT PALATE; SEIZURES; and microcephaly. Semilobar holoprosencepaly is characterized by hypotelorism, microphthalmia, coloboma, nasal malformations, and variable degrees of INTELLECTUAL DISABILITY. Lobar holoprosencephaly is associated with mild (or absent) facial malformations and intellectual abilities that range from mild INTELLECTUAL DISABILITY to normal. Holoprosencephaly is associated with CHROMOSOME ABNORMALITIES.",DOID:4621,Nervous
C0993582,"Arthritis, Experimental",Inflammatory,"ARTHRITIS that is induced in experimental animals. Immunological methods and infectious agents can be used to develop experimental arthritis models. These methods include injections of stimulators of the immune response, such as an adjuvant (ADJUVANTS, IMMUNOLOGIC) or COLLAGEN.",,Musculoskeletal system
C0014549,Tonic-Clonic Epilepsy,nervous system disease,"A type of generalized seizure characterized by a loss of consciousness, stiffening of the body (tonic phase), and rhythmic jerking (clonic phase), occurring as part of an epilepsy syndrome.",,nervous system
