,Disease ID,Disease Name,Disease Class,Definitions,Main Symptom,Risk Factors,Disease Class GPT,Main System Affected
69,C0206062,"Lung Diseases, Interstitial",respiratory system disease,"A diverse group of lung diseases that affect the lung parenchyma. They are characterized by an initial inflammation of PULMONARY ALVEOLI that extends to the interstitium and beyond leading to diffuse PULMONARY FIBROSIS. Interstitial lung diseases are classified by their etiology (known or unknown causes), and radiological-pathological features.",diffuse pulmonary fibrosis,unknown or known causes,lung diseases,lung parenchyma
70,C0206726,Gliosarcoma,cancer,"Rare mixed tumors of the brain and rarely the spinal cord which contain malignant neuroectodermal (glial) and mesenchymal components, including spindle-shaped fibrosarcoma cells. These tumors are highly aggressive and present primarily in adults as rapidly expanding mass lesions. They may arise in tissue that has been previously irradiated. (From Br J Neurosurg 1995 Apr;9(2):171-8)",rapidly expanding mass lesions,previous irradiation,rare mixed tumors,brain and rarely the spinal cord
71,C0206686,Adrenocortical Carcinoma,cancer,"A malignant neoplasm of the ADRENAL CORTEX. Adrenocortical carcinomas are unencapsulated anaplastic (ANAPLASIA) masses sometimes exceeding 20 cm or 200 g. They are more likely to be functional than nonfunctional, and produce ADRENAL CORTEX HORMONES that may result in hypercortisolism (CUSHING SYNDROME); HYPERALDOSTERONISM; and/or VIRILISM.","Hypercortisolism, Hyperaldosteronism, Virilism",Unknown,Malignant neoplasm,Adrenal cortex
72,C1800706,Idiopathic Pulmonary Fibrosis,respiratory system disease,"A common interstitial lung disease of unknown etiology, usually occurring between 50-70 years of age. Clinically, it is characterized by an insidious onset of breathlessness with exertion and a nonproductive cough, leading to progressive DYSPNEA. Pathological features show scant interstitial inflammation, patchy collagen fibrosis, prominent fibroblast proliferation foci, and microscopic honeycomb change.",progressive DYSPNEA,"unknown etiology, age 50-70",common interstitial lung disease,respiratory system
73,C0021051,Immunologic Deficiency Syndromes,immune system disease,"Syndromes in which there is a deficiency or defect in the mechanisms of immunity, either cellular or humoral.",Deficiency or defect in the mechanisms of immunity,Genetic predisposition,Immunologic disorders,Immune system
74,C0035334,Retinitis Pigmentosa,nervous system disease,"Hereditary, progressive degeneration of the neuroepithelium of the retina characterized by night blindness and progressive contraction of the visual field.","Night blindness, progressive contraction of visual field",Hereditary,Neurodegenerative disorder,Retina
75,C0151744,Myocardial Ischemia,cardiovascular system disease,"A disorder of cardiac function caused by insufficient blood flow to the muscle tissue of the heart. The decreased blood flow may be due to narrowing of the coronary arteries (CORONARY ARTERY DISEASE), to obstruction by a thrombus (CORONARY THROMBOSIS), or less commonly, to diffuse narrowing of arterioles and other small vessels within the heart. Severe interruption of the blood supply to the myocardial tissue may result in necrosis of cardiac muscle (MYOCARDIAL INFARCTION).",insufficient blood flow to the muscle tissue of the heart,"narrowing of the coronary arteries, coronary thrombosis, diffuse narrowing of arterioles and other small vessels within the heart",disorder of cardiac function,cardiovascular system
76,C0019202,Hepatolenticular Degeneration,gastrointestinal system disease,"A rare autosomal recessive disease characterized by the deposition of copper in the BRAIN; LIVER; CORNEA; and other organs. It is caused by defects in the ATP7B gene encoding copper-transporting ATPase 2 (EC 3.6.3.4), also known as the Wilson disease protein. The overload of copper inevitably leads to progressive liver and neurological dysfunction such as LIVER CIRRHOSIS; TREMOR; ATAXIA and intellectual deterioration. Hepatic dysfunction may precede neurologic dysfunction by several years.","Deposition of copper in brain, liver, cornea, and other organs",Autosomal recessive inheritance,Rare genetic disease,Brain and liver
77,C0026846,Muscular Atrophy,musculoskeletal system disease,"Derangement in size and number of muscle fibers occurring with aging, reduction in blood supply, or following immobilization, prolonged weightlessness, malnutrition, and particularly in denervation.",Derangement in size and number of muscle fibers,"Aging, reduction in blood supply, immobilization, prolonged weightlessness, malnutrition, denervation",Muscular Atrophy,Muscular System
78,C0004782,Basal Ganglia Diseases,nervous system disease,Diseases of the BASAL GANGLIA including the PUTAMEN; GLOBUS PALLIDUS; claustrum; AMYGDALA; and CAUDATE NUCLEUS. DYSKINESIAS (most notably involuntary movements and alterations of the rate of movement) represent the primary clinical manifestations of these disorders. Common etiologies include CEREBROVASCULAR DISORDERS; NEURODEGENERATIVE DISEASES; and CRANIOCEREBRAL TRAUMA.,DYSKINESIAS (involuntary movements and alterations of the rate of movement),"CEREBROVASCULAR DISORDERS, NEURODEGENERATIVE DISEASES, CRANIOCEREBRAL TRAUMA",Basal Ganglia Diseases,"Basal Ganglia (including Putamen, Globus Pallidus, Claustrum, Amygdala, and Caudate Nucleus)"
79,C0019163,Hepatitis B,viral infectious disease,"INFLAMMATION of the LIVER in humans caused by a member of the ORTHOHEPADNAVIRUS genus, HEPATITIS B VIRUS. It is primarily transmitted by parenteral exposure, such as transfusion of contaminated blood or blood products, but can also be transmitted via sexual or intimate personal contact.",Inflammation of the liver,"Parenteral exposure (contaminated blood or blood products), sexual or intimate personal contact",Viral infection,Liver
80,C0024115,Lung Diseases,respiratory system disease,Pathological processes involving any part of the LUNG.,Difficulty breathing,"Smoking, exposure to pollutants, genetics",Respiratory diseases,Respiratory system
81,C0039685,Tetralogy Of Fallot,cardiovascular system disease,"A combination of congenital heart defects consisting of four key features including VENTRICULAR SEPTAL DEFECTS; PULMONARY STENOSIS; RIGHT VENTRICULAR HYPERTROPHY; and a dextro-positioned AORTA. In this condition, blood from both ventricles (oxygen-rich and oxygen-poor) is pumped into the body often causing CYANOSIS.",Cyanosis,Congenital heart defects,Tetralogy Of Fallot,Cardiovascular system
82,C0004763,Barrett Esophagus,gastrointestinal system disease,"A condition with damage to the lining of the lower ESOPHAGUS resulting from chronic acid reflux (ESOPHAGITIS, REFLUX). Through the process of metaplasia, the squamous cells are replaced by a columnar epithelium with cells resembling those of the INTESTINE or the salmon-pink mucosa of the STOMACH. Barrett's columnar epithelium is a marker for severe reflux and precursor to ADENOCARCINOMA of the esophagus.",Chronic acid reflux,"Chronic acid reflux, obesity, smoking, hiatal hernia",Digestive system disorder,Digestive system (Esophagus)
83,C0014544,Epilepsy,nervous system disease,"A disorder characterized by recurrent episodes of paroxysmal brain dysfunction due to a sudden, disorderly, and excessive neuronal discharge. Epilepsy classification systems are generally based upon: (1) clinical features of the seizure episodes (e.g., motor seizure), (2) etiology (e.g., post-traumatic), (3) anatomic site of seizure origin (e.g., frontal lobe seizure), (4) tendency to spread to other structures in the brain, and (5) temporal patterns (e.g., nocturnal epilepsy). (From Adams et al., Principles of Neurology, 6th ed, p313)",recurrent episodes of paroxysmal brain dysfunction,"unknown, some cases may be genetic or due to brain injury",neurological disorder,brain
84,C0085110,Severe Combined Immunodeficiency,immune system disease,"Group of rare congenital disorders characterized by impairment of both humoral and cell-mediated immunity, leukopenia, and low or absent antibody levels. It is inherited as an X-linked or autosomal recessive defect. Mutations occurring in many different genes cause human Severe Combined Immunodeficiency (SCID).","Impairment of both humoral and cell-mediated immunity, leukopenia, low or absent antibody levels",Inherited as an X-linked or autosomal recessive defect,Group of rare congenital disorders,Immune system
85,C0018799,Heart Diseases,cardiovascular system disease,Pathological conditions involving the HEART including its structural and functional abnormalities.,Chest pain or discomfort,"High blood pressure, high cholesterol, smoking, obesity",Cardiovascular diseases,Cardiovascular system
86,C0024809,Marijuana Abuse,substance-related disorder,The excessive use of marijuana with associated psychological symptoms and impairment in social or occupational functioning.,Psychological symptoms,Excessive use of marijuana,Substance abuse disorder,Central nervous system
87,C0023976,Long Qt Syndrome,monogenic disease,A condition that is characterized by episodes of fainting (SYNCOPE) and varying degree of ventricular arrhythmia as indicated by the prolonged QT interval. The inherited forms are caused by mutation of genes encoding cardiac ion channel proteins. The two major forms are ROMANO-WARD SYNDROME and JERVELL-LANGE NIELSEN SYNDROME.,episodes of fainting (SYNCOPE) and varying degree of ventricular arrhythmia,inheritance of mutated genes encoding cardiac ion channel proteins,Long Qt Syndrome,cardiovascular system
88,C0006413,Burkitt Lymphoma,cancer,"A form of undifferentiated malignant LYMPHOMA usually found in central Africa, but also reported in other parts of the world. It is commonly manifested as a large osteolytic lesion in the jaw or as an abdominal mass. B-cell antigens are expressed on the immature cells that make up the tumor in virtually all cases of Burkitt lymphoma. The Epstein-Barr virus (HERPESVIRUS 4, HUMAN) has been isolated from Burkitt lymphoma cases in Africa and it is implicated as the causative agent in these cases; however, most non-African cases are EBV-negative.",Large osteolytic lesion in the jaw or abdominal mass,Implicated causative agent: Epstein-Barr virus (EBV),Undifferentiated malignant lymphoma,Lymphatic system
89,C0079541,Holoprosencephaly,congenital nervous system abnormality,"Anterior midline brain, cranial, and facial malformations resulting from the failure of the embryonic prosencephalon to undergo segmentation and cleavage. Alobar prosencephaly is the most severe form and features anophthalmia; cyclopia; severe INTELLECTUAL DISABILITY; CLEFT LIP; CLEFT PALATE; SEIZURES; and microcephaly. Semilobar holoprosencepaly is characterized by hypotelorism, microphthalmia, coloboma, nasal malformations, and variable degrees of INTELLECTUAL DISABILITY. Lobar holoprosencephaly is associated with mild (or absent) facial malformations and intellectual abilities that range from mild INTELLECTUAL DISABILITY to normal. Holoprosencephaly is associated with CHROMOSOME ABNORMALITIES.","Anterior midline brain, cranial, and facial malformations",Chromosome abnormalities,Congenital malformation,"Central nervous system, craniofacial system"
90,C0020179,Huntington Disease,nervous system disease,"A familial disorder inherited as an autosomal dominant trait and characterized by the onset of progressive CHOREA and DEMENTIA in the fourth or fifth decade of life. Common initial manifestations include paranoia; poor impulse control; DEPRESSION; HALLUCINATIONS; and DELUSIONS. Eventually intellectual impairment; loss of fine motor control; ATHETOSIS; and diffuse chorea involving axial and limb musculature develops, leading to a vegetative state within 10-15 years of disease onset. The juvenile variant has a more fulminant course including SEIZURES; ATAXIA; dementia; and chorea. (From Adams et al., Principles of Neurology, 6th ed, pp1060-4)","chorea, dementia, paranoia, poor impulse control, depression, hallucinations, delusions",autosomal dominant inheritance,familial disorder,central nervous system
91,C0017636,Glioblastoma,cancer,"A malignant form of astrocytoma histologically characterized by pleomorphism of cells, nuclear atypia, microhemorrhage, and necrosis. They may arise in any region of the central nervous system, with a predilection for the cerebral hemispheres, basal ganglia, and commissural pathways. Clinical presentation most frequently occurs in the fifth or sixth decade of life with focal neurologic signs or seizures.",focal neurologic signs or seizures,unknown,malignant astrocytoma,central nervous system
92,C0017638,Glioma,cancer,"Benign and malignant central nervous system neoplasms derived from glial cells (i.e., astrocytes, oligodendrocytes, and ependymocytes). Astrocytes may give rise to astrocytomas (ASTROCYTOMA) or glioblastoma multiforme (see GLIOBLASTOMA). Oligodendrocytes give rise to oligodendrogliomas (OLIGODENDROGLIOMA) and ependymocytes may undergo transformation to become EPENDYMOMA; CHOROID PLEXUS NEOPLASMS; or colloid cysts of the third ventricle. (From Escourolle et al., Manual of Basic Neuropathology, 2nd ed, p21)",Symptoms depend on the location of the glioma in the central nervous system.,"Risk factors for glioma include family history, exposure to radiation, and certain genetic conditions.",Glioma is a type of central nervous system neoplasm derived from glial cells.,Glioma primarily affects the central nervous system.
93,C0013080,Down Syndrome,chromosomal disease,"A chromosome disorder associated either with an extra chromosome 21 or an effective trisomy for chromosome 21. Clinical manifestations include hypotonia, short stature, brachycephaly, upslanting palpebral fissures, epicanthus, Brushfield spots on the iris, protruding tongue, small ears, short, broad hands, fifth finger clinodactyly, Simian crease, and moderate to severe INTELLECTUAL DISABILITY. Cardiac and gastrointestinal malformations, a marked increase in the incidence of LEUKEMIA, and the early onset of ALZHEIMER DISEASE are also associated with this condition. Pathologic features include the development of NEUROFIBRILLARY TANGLES in neurons and the deposition of AMYLOID BETA-PROTEIN, similar to the pathology of ALZHEIMER DISEASE. (Menkes, Textbook of Child Neurology, 5th ed, p213)",Intellectual disability,Extra chromosome 21 or trisomy 21,Chromosome disorder,"Cardiac, gastrointestinal, and nervous system"
94,C0030305,Pancreatitis,endocrine system disease,"INFLAMMATION of the PANCREAS. Pancreatitis is classified as acute unless there are computed tomographic or endoscopic retrograde cholangiopancreatographic findings of CHRONIC PANCREATITIS (International Symposium on Acute Pancreatitis, Atlanta, 1992). The two most common forms of acute pancreatitis are ALCOHOLIC PANCREATITIS and gallstone pancreatitis.",Inflammation of the pancreas,"Alcohol consumption, gallstones",Acute pancreatitis,Digestive system
95,C0002514,"Amino Acid Metabolism, Inborn Errors",inherited metabolic disorder,"Disorders affecting amino acid metabolism. The majority of these disorders are inherited and present in the neonatal period with metabolic disturbances (e.g., ACIDOSIS) and neurologic manifestations. They are present at birth, although they may not become symptomatic until later in life.",metabolic disturbances and neurologic manifestations,inherited,disorders affecting amino acid metabolism,metabolic and nervous systems
96,C0032914,Pre-Eclampsia,cardiovascular system disease,"A complication of PREGNANCY, characterized by a complex of symptoms including maternal HYPERTENSION and PROTEINURIA with or without pathological EDEMA. Symptoms may range between mild and severe. Pre-eclampsia usually occurs after the 20th week of gestation, but may develop before this time in the presence of trophoblastic disease.",Maternal hypertension and proteinuria,Trophoblastic disease,Complication of pregnancy,Cardiovascular and renal systems
97,C0032460,Polycystic Ovary Syndrome,polycystic ovary syndrome,"A complex disorder characterized by infertility, HIRSUTISM; OBESITY; and various menstrual disturbances such as OLIGOMENORRHEA; AMENORRHEA; ANOVULATION. Polycystic ovary syndrome is usually associated with bilateral enlarged ovaries studded with atretic follicles, not with cysts. The term, polycystic ovary, is misleading.","Infertility, hirsutism, obesity, oligomenorrhea, amenorrhea, anovulation",Unknown,Complex disorder,Reproductive system
98,C0007786,Brain Ischemia,cardiovascular system disease,"Localized reduction of blood flow to brain tissue due to arterial obstruction or systemic hypoperfusion. This frequently occurs in conjunction with brain hypoxia (HYPOXIA, BRAIN). Prolonged ischemia is associated with BRAIN INFARCTION.",localized reduction of blood flow to brain tissue,"arterial obstruction, systemic hypoperfusion",brain ischemia,brain
99,C0007785,Cerebral Infarction,cardiovascular system disease,"The formation of an area of NECROSIS in the CEREBRUM caused by an insufficiency of arterial or venous blood flow. Infarcts of the cerebrum are generally classified by hemisphere (i.e., left vs. right), lobe (e.g., frontal lobe infarction), arterial distribution (e.g., INFARCTION, ANTERIOR CEREBRAL ARTERY), and etiology (e.g., embolic infarction).",Necrosis in the cerebrum,Insufficiency of arterial or venous blood flow,Cerebrovascular disease,Central nervous system
100,C0029401,Osteitis Deformans,musculoskeletal system disease,"A disease marked by repeated episodes of increased bone resorption followed by excessive attempts at repair, resulting in weakened, deformed bones of increased mass. The resultant architecture of the bone assumes a mosaic pattern in which the fibers take on a haphazard pattern instead of the normal parallel symmetry.",repeated episodes of increased bone resorption followed by excessive attempts at repair,"unknown, but genetics may play a role",chronic bone disorder,skeletal system
101,C0162671,Melas Syndrome,musculoskeletal system disease,"A mitochondrial disorder characterized by focal or generalized seizures, episodes of transient or persistent neurologic dysfunction resembling strokes, and ragged-red fibers on muscle biopsy. Affected individuals tend to be normal at birth through early childhood, then experience growth failure, episodic vomiting, and recurrent cerebral insults resulting in visual loss and hemiparesis. The cortical lesions tend to occur in the parietal and occipital lobes and are not associated with vascular occlusion. VASCULAR HEADACHE is frequently associated and the disorder tends to be familial. (From Joynt, Clinical Neurology, 1992, Ch56, p117)","focal or generalized seizures, episodes of transient or persistent neurologic dysfunction resembling strokes, visual loss and hemiparesis",familial,mitochondrial disorder,"neurologic system, muscle"
102,C0162670,Mitochondrial Myopathies,musculoskeletal system disease,A group of muscle diseases associated with abnormal mitochondria function.,Muscle weakness and fatigue,Inherited genetic mutations,Mitochondrial disorders,Muscular system
103,C0009375,Colonic Neoplasms,benign neoplasm,Tumors or cancer of the COLON.,"Change in bowel habits, rectal bleeding, abdominal pain","Older age, family history of colorectal cancer, certain genetic conditions, inflammatory bowel disease",Cancer,Digestive system
104,C0006111,Brain Diseases,nervous system disease,"Pathologic conditions affecting the BRAIN, which is composed of the intracranial components of the CENTRAL NERVOUS SYSTEM. This includes (but is not limited to) the CEREBRAL CORTEX; intracranial white matter; BASAL GANGLIA; THALAMUS; HYPOTHALAMUS; BRAIN STEM; and CEREBELLUM.",Variety of neurological symptoms depending on the specific disease,"Genetic factors, environmental factors, age, head trauma, certain infections",Neurological disorders,Central nervous system
105,C0005138,Berylliosis,respiratory system disease,"A form of pneumoconiosis caused by inhaled rare metal BERYLLIUM or its soluble salts which are used in a wide variety of industry including alloys, ceramics, radiographic equipment, and vacuum tubes. Berylliosis is characterized by an acute inflammatory reaction in the upper airway leading to BRONCHIOLITIS; PULMONARY EDEMA; and pneumonia.",acute inflammatory reaction in upper airway,inhalation of BERYLLIUM or its soluble salts,pneumoconiosis,respiratory system
106,C0020437,Hypercalcemia,acquired metabolic disease,Abnormally high level of calcium in the blood.,Abnormally high level of calcium in the blood,"Hyperparathyroidism, certain cancers, excessive vitamin D intake, immobility",Metabolic disorder,Skeletal and nervous system
107,C0036202,Sarcoidosis,immune system disease,"An idiopathic systemic inflammatory granulomatous disorder comprised of epithelioid and multinucleated giant cells with little necrosis. It usually invades the lungs with fibrosis and may also involve lymph nodes, skin, liver, spleen, eyes, phalangeal bones, and parotid glands.","Systemic inflammation, granulomas",Unknown (idiopathic),Inflammatory disorder,"Respiratory system (lungs) with potential involvement of lymph nodes, skin, liver, spleen, eyes, phalangeal bones, and parotid glands"
108,C0023903,Liver Neoplasms,cancer,Tumors or cancer of the LIVER.,Liver tumors or cancer,"Chronic hepatitis B or C infection, cirrhosis, heavy alcohol use, obesity",Neoplasms,Digestive system
109,C0038325,Stevens-Johnson Syndrome,integumentary system disease,"Rare cutaneous eruption characterized by extensive KERATINOCYTE apoptosis resulting in skin detachment with mucosal involvement. It is often provoked by the use of drugs (e.g., antibiotics and anticonvulsants) or associated with PNEUMONIA, MYCOPLASMA. It is considered a continuum of Toxic Epidermal Necrolysis.",extensive skin detachment with mucosal involvement,"use of drugs (e.g., antibiotics and anticonvulsants), associated with pneumonia, mycoplasma",rare cutaneous eruption,skin and mucous membranes
110,C0023186,Learning Disorders,developmental disorder of mental health,"Conditions characterized by a significant discrepancy between an individual's perceived level of intellect and their ability to acquire new language and other cognitive skills. These disorders may result from organic or psychological conditions. Relatively common subtypes include DYSLEXIA, DYSCALCULIA, and DYSGRAPHIA.",Significant discrepancy between perceived level of intellect and ability to acquire new language and other cognitive skills,Organic or psychological conditions,Learning Disorders,Language and cognitive skills
111,C0024796,Marfan Syndrome,monogenic disease,"An autosomal dominant disorder of CONNECTIVE TISSUE with abnormal features in the heart, the eye, and the skeleton. Cardiovascular manifestations include MITRAL VALVE PROLAPSE, dilation of the AORTA, and aortic dissection. Other features include lens displacement (ectopia lentis), disproportioned long limbs and enlarged DURA MATER (dural ectasia). Marfan syndrome is associated with mutations in the gene encoding fibrillin, a major element of extracellular microfibrils of connective tissue.","Abnormal features in the heart, the eye, and the skeleton",Autosomal dominant inheritance,Connective tissue disorder,"Cardiovascular system, skeletal system, and ocular system"
112,C0024121,Lung Neoplasms,benign neoplasm,Tumors or cancer of the LUNG.,"Persistent cough, chest pain, shortness of breath, coughing up blood","Smoking, exposure to secondhand smoke, exposure to radon gas, asbestos, family history of lung cancer",Cancer,Respiratory system
113,C0270853,"Myoclonic Epilepsy, Juvenile",nervous system disease,"A disorder characterized by the onset of myoclonus in adolescence, a marked increase in the incidence of absence seizures (see EPILEPSY, ABSENCE), and generalized major motor seizures (see EPILEPSY, TONIC-CLONIC). The myoclonic episodes tend to occur shortly after awakening. Seizures tend to be aggravated by sleep deprivation and alcohol consumption. Hereditary and sporadic forms have been identified. (From Adams et al., Principles of Neurology, 6th ed, p323)","Myoclonus, absence seizures, generalized major motor seizures","Sleep deprivation, alcohol consumption","Myoclonic Epilepsy, Juvenile",Nervous system
114,C0162820,"Dermatitis, Allergic Contact",integumentary system disease,A contact dermatitis due to allergic sensitization to various substances. These substances subsequently produce inflammatory reactions in the skin of those who have acquired hypersensitivity to them as a result of prior exposure.,inflammatory reactions in the skin,prior exposure to substances,contact dermatitis,skin
115,C0021841,Intestinal Neoplasms,benign neoplasm,Tumors or cancer of the INTESTINES.,"Abdominal pain, changes in bowel habits, blood in stool","Age (over 50), family history of colorectal cancer, certain genetic conditions (e.g., Lynch syndrome)",Cancer,Digestive system
116,C0007193,"Cardiomyopathy, Dilated",cardiovascular system disease,"A form of CARDIAC MUSCLE disease that is characterized by ventricular dilation, VENTRICULAR DYSFUNCTION, and HEART FAILURE. Risk factors include SMOKING; ALCOHOL DRINKING; HYPERTENSION; INFECTION; PREGNANCY; and mutations in the LMNA gene encoding LAMIN TYPE A, a NUCLEAR LAMINA protein.","ventricular dilation, ventricular dysfunction, heart failure","smoking, alcohol drinking, hypertension, infection, pregnancy, mutations in the LMNA gene",cardiac muscle disease,cardiovascular system
117,C0752166,Bardet-Biedl Syndrome,monogenic disease,An autosomal recessive disorder characterized by RETINITIS PIGMENTOSA; POLYDACTYLY; OBESITY; MENTAL RETARDATION; hypogenitalism; renal dysplasia; and short stature. This syndrome has been distinguished as a separate entity from LAURENCE-MOON SYNDROME. (From J Med Genet 1997 Feb;34(2):92-8),"Retinitis Pigmentosa, Polydactyly, Obesity, Mental Retardation, Hypogenitalism, Renal Dysplasia, Short Stature",Autosomal recessive inheritance,Genetic disorder,"Nervous system, Musculoskeletal system, Endocrine system, Renal system"
118,C0025202,Melanoma,cancer,"A malignant neoplasm derived from cells that are capable of forming melanin, which may occur in the skin of any part of the body, in the eye, or, rarely, in the mucous membranes of the genitalia, anus, oral cavity, or other sites. It occurs mostly in adults and may originate de novo or from a pigmented nevus or malignant lentigo. Melanomas frequently metastasize widely, and the regional lymph nodes, liver, lungs, and brain are likely to be involved. The incidence of malignant skin melanomas is rising rapidly in all parts of the world. (Stedman, 25th ed; from Rook et al., Textbook of Dermatology, 4th ed, p2445)",skin lesions or changes in moles,"excessive sun exposure, fair skin, family history of melanoma",malignant neoplasm,skin
119,C0032285,Pneumonia,respiratory system disease,Infection of the lung often accompanied by inflammation.,"Cough, fever, difficulty breathing","Young children, older adults, smokers, weakened immune system",Infectious disease,Respiratory system
120,C0033805,Pseudohypoaldosteronism,urinary system disease,"A heterogeneous group of disorders characterized by renal electrolyte transport dysfunctions. Congenital forms are rare autosomal disorders characterized by neonatal hypertension, HYPERKALEMIA, increased RENIN activity and ALDOSTERONE concentration. The Type I features HYPERKALEMIA with sodium wasting; Type II, HYPERKALEMIA without sodium wasting. Pseudohypoaldosteronism can be the result of a defective renal electrolyte transport protein or acquired after KIDNEY TRANSPLANTATION.",Hyperkalemia,"Congenital autosomal disorders, kidney transplantation",Heterogeneous group of disorders,Renal electrolyte transport
121,C0020619,Hypogonadism,endocrine system disease,"Condition resulting from deficient gonadal functions, such as GAMETOGENESIS and the production of GONADAL STEROID HORMONES. It is characterized by delay in GROWTH, germ cell maturation, and development of secondary sex characteristics. Hypogonadism can be due to a deficiency of GONADOTROPINS (hypogonadotropic hypogonadism) or due to primary gonadal failure (hypergonadotropic hypogonadism).","delay in growth, germ cell maturation, and development of secondary sex characteristics",deficiency of gonadotropins or primary gonadal failure,endocrine disorder,reproductive system
122,C0026650,Movement Disorders,nervous system disease,"Syndromes which feature DYSKINESIAS as a cardinal manifestation of the disease process. Included in this category are degenerative, hereditary, post-infectious, medication-induced, post-inflammatory, and post-traumatic conditions.",Dyskinesias,"Degenerative, hereditary, post-infectious, medication-induced, post-inflammatory, and post-traumatic conditions",Movement Disorders,Nervous system
123,C0020615,Hypoglycemia,endocrine system disease,A syndrome of abnormally low BLOOD GLUCOSE level. Clinical hypoglycemia has diverse etiologies. Severe hypoglycemia eventually lead to glucose deprivation of the CENTRAL NERVOUS SYSTEM resulting in HUNGER; SWEATING; PARESTHESIA; impaired mental function; SEIZURES; COMA; and even DEATH.,abnormally low blood glucose level,diverse etiologies,Hypoglycemia,Central Nervous System
124,C0002895,"Anemia, Sickle Cell",monogenic disease,"A disease characterized by chronic hemolytic anemia, episodic painful crises, and pathologic involvement of many organs. It is the clinical expression of homozygosity for hemoglobin S.","chronic hemolytic anemia, episodic painful crises",homozygosity for hemoglobin S,genetic disorder,many organs
125,C0238288,"Muscular Dystrophy, Facioscapulohumeral",musculoskeletal system disease,"An autosomal dominant degenerative muscle disease characterized by slowly progressive weakness of the muscles of the face, upper-arm, and shoulder girdle. The onset of symptoms usually occurs in the first or second decade of life. Affected individuals usually present with impairment of upper extremity elevation. This tends to be followed by facial weakness, primarily involving the orbicularis oris and orbicularis oculi muscles. (Neuromuscul Disord 1997;7(1):55-62; Adams et al., Principles of Neurology, 6th ed, p1420)","slowly progressive weakness of the muscles of the face, upper-arm, and shoulder girdle",autosomal dominant inheritance,degenerative muscle disease,musculoskeletal system
126,C0004153,Atherosclerosis,cardiovascular system disease,A thickening and loss of elasticity of the walls of ARTERIES that occurs with formation of ATHEROSCLEROTIC PLAQUES within the ARTERIAL INTIMA.,Thickening and loss of elasticity of artery walls,"High cholesterol, high blood pressure, smoking, diabetes, obesity",Cardiovascular disease,Arterial system
127,C0004096,Asthma,respiratory system disease,"A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).","Wheezing, dyspnea","Respiratory hypersensitivity, airway inflammation",Bronchial disorder,Respiratory system
128,C0949658,"Cardiomyopathy, Hypertrophic, Familial",cardiovascular system disease,An autosomal dominant inherited form of HYPERTROPHIC CARDIOMYOPATHY. It results from any of more than 50 mutations involving genes encoding contractile proteins such as VENTRICULAR MYOSINS; cardiac TROPONIN T; ALPHA-TROPOMYOSIN.,Hypertrophic cardiomyopathy,Autosomal dominant inheritance,Cardiomyopathy,Cardiovascular system
129,C0037286,Skin Neoplasms,benign neoplasm,Tumors or cancer of the SKIN.,Skin tumors or cancer,"Excessive sun exposure, fair skin, history of sunburns, family history of skin cancer",Neoplasms,Skin
130,C0268237,Cytochrome-C Oxidase Deficiency,inherited metabolic disorder,"A disease that results from a congenital defect in ELECTRON TRANSPORT COMPLEX IV. Defects in ELECTRON TRANSPORT COMPLEX IV can be caused by mutations in the SURF1, SCO2, COX10, or SCO1 genes. ELECTRON TRANSPORT COMPLEX IV deficiency caused by mutation in SURF1 manifests itself as LEIGH DISEASE; that caused by mutation in SCO2 as fatal infantile cardioencephalomyopathy; that caused by mutation in COX10 as tubulopathy and leukodystrophy; and that caused by mutation in SCO1 as early-onset hepatic failure and neurologic disorder. (from Online Mendelian Inheritance in Man, http://www.ncbi.nlm.nih.gov/Omim, MIM#220110, May 17, 2001)","LEIGH DISEASE, fatal infantile cardioencephalomyopathy, tubulopathy, leukodystrophy, early-onset hepatic failure and neurologic disorder",Congenital defect in ELECTRON TRANSPORT COMPLEX IV,Cytochrome-C Oxidase Deficiency,ELECTRON TRANSPORT COMPLEX IV
131,C0035304,Retinal Degeneration,nervous system disease,"A retrogressive pathological change in the retina, focal or generalized, caused by genetic defects, inflammation, trauma, vascular disease, or aging. Degeneration affecting predominantly the macula lutea of the retina is MACULAR DEGENERATION. (Newell, Ophthalmology: Principles and Concepts, 7th ed, p304)",Retrogressive pathological change in the retina,"Genetic defects, inflammation, trauma, vascular disease, aging",Retinal degeneration,Retina
132,C0011615,"Dermatitis, Atopic",integumentary system disease,"A chronic inflammatory genetically determined disease of the skin marked by increased ability to form reagin (IgE), with increased susceptibility to allergic rhinitis and asthma, and hereditary disposition to a lowered threshold for pruritus. It is manifested by lichenification, excoriation, and crusting, mainly on the flexural surfaces of the elbow and knee. In infants it is known as infantile eczema.","lichenification, excoriation, crusting","genetic predisposition, increased ability to form reagin (IgE)",chronic inflammatory disease of the skin,skin
